titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,imagen_url,etiquetas,pagina,numero_en_pagina
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$11.500.000,"220 m²
3 hab.
5 bañ.
2 par.",220,3,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-5-banos-2-garajes/19797-M5969784,19797-M5969784,https://multimedia.metrocuadrado.com/19797-M5969784/19797-M5969784_161_p.jpg,[],1,1
"Apartamento en Arriendo, La Tomatera, Medellín",La Tomatera | Medellín,$5.800.000,"52 m²
1 hab.
2 bañ.",52,1,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-tomatera-1-habitaciones-2-banos/2214-M5988075,2214-M5988075,https://multimedia.metrocuadrado.com/2214-M5988075/2214-M5988075_12_p.jpg,[],1,2
"Apartamento en Arriendo, Campo Alegre, Medellín",Campo Alegre | Medellín,$2.400.000,"70 m²
2 hab.
2 bañ.
1 par.",70,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-campo-alegre-2-habitaciones-2-banos-1-garajes/19259-M6040759,19259-M6040759,https://multimedia.metrocuadrado.com/19259-M6040759/19259-M6040759_12_p.jpg,[],1,3
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores | Noroccidente | Medellín,$2.850.000,"60 m²
3 hab.
2 bañ.
1 par.",60,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913,17136-M6065913,https://multimedia.metrocuadrado.com/17136-M6065913/17136-M6065913_1_p.jpg,[],1,4
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$2.250.000,"57 m²
3 hab.
2 bañ.
1 par.",57,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,16115-M6034913,https://multimedia.metrocuadrado.com/16115-M6034913/16115-M6034913_1_p.jpg,[],1,5
"Bodega en Arriendo, Belen, Medellín",Belen | Medellín,$13.500.000,"500 m²
4 bañ.
3 par.",500,,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281,17698-M6050281,https://multimedia.metrocuadrado.com/17698-M6050281/17698-M6050281_1_p.jpg,[],1,6
"Casa en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.500.000,"280 m²
4 hab.
2 bañ.
2 par.",280,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826,18537-M6039826,https://multimedia.metrocuadrado.com/18537-M6039826/18537-M6039826_96_p.jpg,[],1,7
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,140 m²,140,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805,18537-M5986805,https://multimedia.metrocuadrado.com/18537-M5986805/18537-M5986805_101_p.jpg,[],1,8
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio | Medellín,$2.150.000,"54 m²
2 hab.
1 bañ.
1 par.",54,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919,16509-M6043919,https://multimedia.metrocuadrado.com/16509-M6043919/16509-M6043919_14_p.jpg,[],1,9
"Casa en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Medellín,$2.300.000,"42 m²
1 hab.
1 bañ.
1 par.",42,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740,16509-M6044740,https://multimedia.metrocuadrado.com/16509-M6044740/16509-M6044740_1_p.jpg,[],1,10
"Apartamento en Arriendo, Las Villas, Medellín",Las Villas | Medellín,$2.750.000,"78 m²
3 hab.
2 bañ.
1 par.",78,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309,16509-M6063309,https://multimedia.metrocuadrado.com/16509-M6063309/16509-M6063309_1_p.jpg,[],1,11
"Apartamento en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Suroccidente | Medellín,$3.800.000,"110 m²
4 hab.
3 bañ.
1 par.",110,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733,2511-M6064733,https://multimedia.metrocuadrado.com/2511-M6064733/2511-M6064733_41_p.jpg,[],1,12
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Rio | Medellín,$3.500.000,"65 m²
3 hab.
2 bañ.
1 par.",65,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905,11166-M6010905,https://multimedia.metrocuadrado.com/11166-M6010905/11166-M6010905_1_p.jpg,[],1,13
"Apartamento en Arriendo, Belen, Medellín",Belen | Suroccidente | Medellín,$1.900.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-hondonada-3-habitaciones-2-banos-1-garajes/17136-M6067767,17136-M6067767,https://multimedia.metrocuadrado.com/17136-M6067767/17136-M6067767_1_p.jpg,[],1,14
"Local Comercial en Arriendo, Las Palmas, Medellín",Las Palmas | Medellín,$2.300.000,"105 m²
2 bañ.",105,,2,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369,11166-M6011369,https://multimedia.metrocuadrado.com/11166-M6011369/11166-M6011369_16_p.jpg,[],1,15
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$9.750.000,"162 m²
1 bañ.",162,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542,11166-M6011542,https://multimedia.metrocuadrado.com/11166-M6011542/11166-M6011542_19_p.jpg,[],1,16
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$5.104.000,"88 m²
1 bañ.",88,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535,11166-M6011535,https://multimedia.metrocuadrado.com/11166-M6011535/11166-M6011535_9_p.jpg,[],1,17
"Apartamento en Arriendo, La Linde, Medellín",La Linde | Medellín,$3.600.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-2-banos-1-garajes/11166-M6011360,11166-M6011360,https://multimedia.metrocuadrado.com/11166-M6011360/11166-M6011360_13_p.jpg,[],1,18
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.700.000,"116 m²
3 hab.
3 bañ.
2 par.",116,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5511812,687-M5511812,https://multimedia.metrocuadrado.com/687-M5511812/687-M5511812_1_p.jpg,[],1,19
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde | Medellín,$9.500.000,"121 m²
2 hab.
3 bañ.
1 par.",121,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/20772-M6015479,20772-M6015479,https://multimedia.metrocuadrado.com/20772-M6015479/20772-M6015479_101_p.jpg,[],1,20
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$18.000.000,"260 m²
3 hab.
4 bañ.
2 par.",260,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781,20765-M6015781,https://multimedia.metrocuadrado.com/20765-M6015781/20765-M6015781_41_p.jpg,[],1,21
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.300.000,"230 m²
3 hab.
3 bañ.
2 par.",230,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5015802,687-M5015802,https://multimedia.metrocuadrado.com/687-M5015802/687-M5015802_1_p.jpg,[],1,22
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$5.200.000,"88 m²
1 hab.
3 bañ.
2 par.",88,1,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-3-banos-2-garajes/687-M5732961,687-M5732961,https://multimedia.metrocuadrado.com/687-M5732961/687-M5732961_1_p.jpg,[],1,23
"Apartamento en Arriendo, Calasanz, Medellín",Calasanz | Medellín,$2.800.000,"54 m²
2 hab.
2 bañ.
1 par.",54,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390,19795-M5691390,https://multimedia.metrocuadrado.com/19795-M5691390/19795-M5691390_153_p.jpg,[],1,24
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$18.000.000,"432 m²
3 hab.
4 bañ.
3 par.",432,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5462930,687-M5462930,https://multimedia.metrocuadrado.com/687-M5462930/687-M5462930_1_p.jpg,[],1,25
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.250.000,"133 m²
3 hab.
3 bañ.
2 par.",133,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5569651,687-M5569651,https://multimedia.metrocuadrado.com/687-M5569651/687-M5569651_1_p.jpg,[],1,26
"Apartaestudio en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$6.000.000,"64 m²
1 hab.
2 bañ.
1 par.",64,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/20543-M6013100,20543-M6013100,https://multimedia.metrocuadrado.com/20543-M6013100/20543-M6013100_1_p.jpg,[],1,27
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$6.700.000,"126 m²
2 hab.
2 bañ.
1 par.",126,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191,20543-M6013191,https://multimedia.metrocuadrado.com/20543-M6013191/20543-M6013191_21_p.jpg,[],1,28
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.500.000,"134 m²
3 hab.
3 bañ.
2 par.",134,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5680210,687-M5680210,https://multimedia.metrocuadrado.com/687-M5680210/687-M5680210_1_p.jpg,[],1,29
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.350.000,"176 m²
3 hab.
4 bañ.
2 par.",176,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-2-garajes/687-M5015783,687-M5015783,https://multimedia.metrocuadrado.com/687-M5015783/687-M5015783_1_p.jpg,[],1,30
"Apartamento en Arriendo, Envigado, Medellín",Envigado | Medellín,$6.500.000,"135 m²
3 hab.
3 bañ.
2 par.",135,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210,20543-M6013210,https://multimedia.metrocuadrado.com/20543-M6013210/20543-M6013210_1_p.jpg,[],1,31
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$60.000.000,"1.200 m²
4 hab.
5 bañ.
4 par.",200,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/687-M3828456,687-M3828456,https://multimedia.metrocuadrado.com/687-M3828456/687-M3828456_2_p.jpg,[],1,32
"Casa en Arriendo, Poblado San Lucas, Medellín",Poblado San Lucas | Medellín,$22.500.000,"381 m²
3 hab.
4 bañ.
2 par.",381,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148,20765-M6015148,https://multimedia.metrocuadrado.com/20765-M6015148/20765-M6015148_81_p.jpg,[],1,33
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.500.000,"100 m²
2 hab.
2 bañ.
2 par.",100,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5732851,687-M5732851,https://multimedia.metrocuadrado.com/687-M5732851/687-M5732851_1_p.jpg,[],1,34
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$37.000.000,"1.085 m²
4 hab.
5 bañ.
4 par.",085,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5462902,687-M5462902,https://multimedia.metrocuadrado.com/687-M5462902/687-M5462902_1_p.jpg,[],1,35
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.800.000,"128 m²
3 hab.
3 bañ.
2 par.",128,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5512158,687-M5512158,https://multimedia.metrocuadrado.com/687-M5512158/687-M5512158_1_p.jpg,[],1,36
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$22.000.000,"260 m²
3 hab.
4 bañ.
2 par.",260,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789,20765-M6015789,https://multimedia.metrocuadrado.com/20765-M6015789/20765-M6015789_61_p.jpg,[],1,37
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.000.000,"120 m²
3 hab.
3 bañ.
1 par.",120,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125,20543-M5997125,https://multimedia.metrocuadrado.com/20543-M5997125/20543-M5997125_21_p.jpg,[],1,38
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.400.000,"340 m²
3 hab.
4 bañ.
3 par.",340,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5067829,687-M5067829,https://multimedia.metrocuadrado.com/687-M5067829/687-M5067829_1_p.jpg,[],1,39
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.800.000,"210 m²
3 hab.
4 bañ.
2 par.",210,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698307,687-M4698307,https://multimedia.metrocuadrado.com/687-M4698307/687-M4698307_1_p.jpg,[],1,40
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$9.300.000,"165 m²
3 hab.
4 bañ.
3 par.",165,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5512141,687-M5512141,https://multimedia.metrocuadrado.com/687-M5512141/687-M5512141_1_p.jpg,[],1,41
"Oficina en Arriendo, Laureles, Medellín",Laureles | Medellín,$2.250.000,"33 m²
1 bañ.
1 par.",33,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-laureles-1-banos-1-garajes/17698-M6062937,17698-M6062937,https://multimedia.metrocuadrado.com/17698-M6062937/17698-M6062937_1_p.jpg,[],1,42
"Oficina en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$3.500.000,"70 m²
1 bañ.
1 par.",70,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825127,17698-M5825127,https://multimedia.metrocuadrado.com/17698-M5825127/17698-M5825127_1_p.jpg,[],1,43
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$3.300.000,"100 m²
3 hab.
2 bañ.
2 par.",100,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-2-garajes/16115-M6060698,16115-M6060698,https://multimedia.metrocuadrado.com/16115-M6060698/16115-M6060698_1_p.jpg,[],1,44
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$3.400.000,"85 m²
3 hab.
2 bañ.",85,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769,11813-M5965769,https://multimedia.metrocuadrado.com/11813-M5965769/11813-M5965769_21_p.jpg,[],1,45
"Casa en Arriendo, Santa Fe, Medellín",Santa Fe | Medellín,$2.000.000,"120 m²
3 hab.
2 bañ.",120,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-fe-3-habitaciones-2-banos/17698-M6062834,17698-M6062834,https://multimedia.metrocuadrado.com/17698-M6062834/17698-M6062834_1_p.jpg,[],1,46
"Local Comercial en Arriendo, Guayabal, Medellín",Guayabal | Suroccidente | Medellín,$16.357.000,"200 m²
2 bañ.
3 par.",200,,2,3,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-shellmar-2-banos-3-garajes/17698-M5817859,17698-M5817859,https://multimedia.metrocuadrado.com/17698-M5817859/17698-M5817859_1_p.jpg,[],1,47
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$5.250.000,"128 m²
3 hab.
4 bañ.
2 par.",128,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-2-garajes/11813-M5777511,11813-M5777511,https://multimedia.metrocuadrado.com/11813-M5777511/11813-M5777511_101_p.jpg,[],1,48
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$7.500.000,"163 m²
3 hab.
3 bañ.
2 par.",163,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5962398,19474-M5962398,https://multimedia.metrocuadrado.com/19474-M5962398/19474-M5962398_21_p.jpg,[],1,49
"Oficina en Arriendo, Guayabal, Medellín",Guayabal | Suroccidente | Medellín,$93.798.600,"1.359 m²
5 bañ.
4 par.",359,,5,4,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-shellmar-5-banos-4-garajes/17698-M5774426,17698-M5774426,https://multimedia.metrocuadrado.com/17698-M5774426/17698-M5774426_1_p.jpg,[],1,50
"Oficina en Arriendo, Lemont, Medellín",Lemont | Medellín,$5.500.000,"59,22 m²
1 bañ.
1 par.",22,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lemont-1-banos-1-garajes/175-M5769219,175-M5769219,https://multimedia.metrocuadrado.com/175-M5769219/175-M5769219_2801_p.jpg,[],1,51
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$870.000,"40 m²
1 hab.
1 bañ.",40,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-1-habitaciones-1-banos/11813-M6062222,11813-M6062222,https://multimedia.metrocuadrado.com/11813-M6062222/11813-M6062222_16_p.jpg,[],1,52
"Apartamento en Arriendo, LOS COLORES, Medellín",LOS COLORES | Noroccidente | Medellín,$2.750.000,"67 m²
2 hab.
2 bañ.
1 par.",67,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-cuarta-brigada-2-habitaciones-2-banos-1-garajes/16174-M6070112,16174-M6070112,https://multimedia.metrocuadrado.com/16174-M6070112/16174-M6070112_1_p.jpg,[],1,53
"Apartamento en Arriendo, LOMA DE LOS GONZALEZ, Medellín",LOMA DE LOS GONZALEZ | Suroriente | Medellín,$4.200.000,"90 m²
3 hab.
2 bañ.
1 par.",90,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-2-banos-1-garajes/16981-M6069448,16981-M6069448,https://multimedia.metrocuadrado.com/16981-M6069448/16981-M6069448_1_p.jpg,[],1,54
"Apartamento en Arriendo, VILLA GRANDE, Medellín",VILLA GRANDE | Otros | Medellín,$3.500.000,"80 m²
3 hab.
2 bañ.
1 par.",80,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-grande-3-habitaciones-2-banos-1-garajes/16174-M6070634,16174-M6070634,https://multimedia.metrocuadrado.com/16174-M6070634/16174-M6070634_1_p.jpg,[],1,55
"Apartamento en Arriendo, LOS GONZALEZ, Medellín",LOS GONZALEZ | Suroriente | Medellín,$4.000.000,"68 m²
1 hab.
2 bañ.
1 par.",68,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-1-habitaciones-2-banos-1-garajes/16981-M6070684,16981-M6070684,https://multimedia.metrocuadrado.com/16981-M6070684/16981-M6070684_1_p.jpg,[],1,56
"Apartamento en Arriendo, EL POBLADO EL TESORO, Medellín",EL POBLADO EL TESORO | Suroriente | Medellín,$39.900.000,"700 m²
4 hab.
5 bañ.
4 par.",700,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/17556-M5186602,17556-M5186602,https://multimedia.metrocuadrado.com/17556-M5186602/17556-M5186602_4_p.jpg,[],1,57
"Apartamento en Arriendo, LOMA DEL INDIO, Medellín",LOMA DEL INDIO | Nororiente | Medellín,$2.800.000,"95 m²
2 hab.
2 bañ.
1 par.",95,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-2-habitaciones-2-banos-1-garajes/16174-M6070462,16174-M6070462,https://multimedia.metrocuadrado.com/16174-M6070462/16174-M6070462_1_p.jpg,[],1,58
"Casa en Arriendo, Los Balsos, Medellín",Los Balsos | Medellín,$60.000.000,"500 m²
5 hab.
5 bañ.
4 par.",500,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-4-garajes/16958-M4884657,16958-M4884657,https://multimedia.metrocuadrado.com/16958-M4884657/16958-M4884657_41_p.jpg,[],1,59
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde | Medellín,$8.700.000,"121 m²
2 hab.
3 bañ.
1 par.",121,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/847-M6012249,847-M6012249,https://multimedia.metrocuadrado.com/847-M6012249/847-M6012249_37_p.jpg,[],1,60
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$14.600.000,"135 m²
3 hab.
4 bañ.
2 par.",135,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/16120-M6015246,16120-M6015246,https://multimedia.metrocuadrado.com/16120-M6015246/16120-M6015246_1_p.jpg,[],1,61
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos | Suroriente | Medellín,$10.200.000,"125 m²
3 hab.
3 bañ.
2 par.",125,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/2398-M5553763,2398-M5553763,https://multimedia.metrocuadrado.com/2398-M5553763/2398-M5553763_1_p.jpg,[],1,62
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$9.500.000,"170 m²
4 hab.
4 bañ.
2 par.",170,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6043504,14059-M6043504,https://multimedia.metrocuadrado.com/14059-M6043504/14059-M6043504_21_p.jpg,[],1,63
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$6.000.000,"170 m²
4 hab.
4 bañ.
2 par.",170,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6012487,14059-M6012487,https://multimedia.metrocuadrado.com/14059-M6012487/14059-M6012487_21_p.jpg,[],1,64
"Apartamento en Arriendo, LAURELES Nororiente, Medellín",LAURELES Nororiente | Noroccidente | Medellín,$6.000.000,"106 m²
3 hab.
4 bañ.
1 par.",106,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186,MC5943186,https://multimedia.metrocuadrado.com/MC5943186/MC5943186_10_p.jpg,[],1,65
"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL Nororiente, Medellín",BELEN LOMA DE LOS BERNAL Nororiente | Suroccidente | Medellín,$3.800.000,"100 m²
3 hab.
2 bañ.
1 par.",100,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/MC5999951,MC5999951,https://multimedia.metrocuadrado.com/MC5999951/MC5999951_8_p.jpg,[],1,66
"Oficina en Arriendo, LA CANDELARIA Nororiente, Medellín",LA CANDELARIA Nororiente | Nororiente | Medellín,$1.150.000,"4 m²
1 bañ.",4,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-candelaria-1-banos/MC5850725,MC5850725,https://multimedia.metrocuadrado.com/MC5850725/MC5850725_3_p.jpg,[],1,67
"Apartamento en Arriendo, EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente, Medellín",EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente | Suroriente | Medellín,$3.000.000,"60 m²
2 hab.
2 bañ.
1 par.",60,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/MC6028170,MC6028170,https://multimedia.metrocuadrado.com/MC6028170/MC6028170_2_p.jpg,[],1,68
